"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Datasheet","Manufacturer","LCSC","Description"
"C1,C3,C7,C9,C11","5","4.7uF 50V X7S 0805","","","","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111526_Murata-Electronics-GRT21BC71H475KE13L_C3861036.pdf","muRata(村田)","C3861036","GRT21BC71H475KE13L"
"C2,C12","2","100nF 250V X7R 0805","","","","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2211281000_YAGEO-CC0805KKX7RYBB104_C5182461.pdf","YAGEO(国巨)","C5182461","CC0805KKX7RYBB104"
"C4","1","47uF, 80 V","","","","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2208301730_Lelon-HBV470M1KTR-1010_C3031594.pdf","Lelon(立隆)","C3031594","HBV470M1KTR-1010"
"C5,C6","2","1nF (102) ±10% 50V","","","","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B102KBCNNNC_C46653.pdf","SAMSUNG(三星)","C46653","1nF (102) ±10% 50V"
"C8,C10","2","20pF 50V C0G 0805","","","","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805CG200F500NT_C176292.pdf","FH(风华)","C176292","CAP CER 20pF 50V C0G 0805"
"D1","1","TVS DIODE 60VWM 96.8VC SMB(DO-214AA)","","","","https://www.lcsc.com/datasheet/C49066953.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.7.xh&lcsc_vid=FANbVFRST1hfU1JfR1ZbXlBfEgcPVgcEQgNYBlVSEwAxVlNeQlBaXlFfQ1JYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRfVVBRWQkaCgg%3D","R+O(宏嘉诚)","C49066953","SMBJ60A TVS"
"H1,H2,H3,H4","4","MountingHole_Pad","","","","~","","C2916333","Mounting Hole with connection"
"J1,J4,J5,J6","4","HX PM2.54-1X4P TP H8.5-ZQ","","","","https://www.lcsc.com/datasheet/lcsc_datasheet_2504301452_hanxia-HX-PM2-54-1x4P-TP-H8-5-ZQ_C48641754.pdf","hanxia(韩下)","C48641754","HX PM2.54-1X4P TP H8.5-ZQ"
"J2,J3,J7,J8","4","TS30050050-040","","","","None","XFCN(兴飞)","C51018168","TS30050050-040"
"LOGO1","1","N/A","","","","N/A","","","Fairflow Energy Logo"
