Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C3, C7, C9",C3861036_C0805,5,4.7uF 50V X7S 0805,C3861036
"C10, C8",C176292_C0805,2,20pF 50V C0G 0805,C176292
"C12, C2",C5182461_C0805,2,100nF 250V X7R 0805,C5182461
C13,C41582415_C1206,1,4.7uF ±10% 100V,C41582415
C4,C3031594_CAP-SMD_BD10_0-L10_3-W10_3-FD,1,"47uF, 100 V",C3031594
"C5, C6",C46653_C0805,2,1nF (102) ±10% 50V,C46653
D1,C49066953_SMB_L4_5-W3_7-LS5_4-RD,1,TVS DIODE 60VWM 96.8VC SMB(DO-214AA),C49066953
"H1, H2, H3, H4",MountingHole_4.3mm_M4_DIN965_Pad,4,MountingHole_Pad,C2916333
"J1, J4, J5, J6",C48641754_HDR-SMD_4P-P2_54-V-F-LS4_7-R1,4,HX PM2.54-1X4P TP H8.5-ZQ,C48641754
"J2, J3, J7, J8",C51018168_SMD_L5_0-W5_0_CON1_5X5_SMD,4,TS30050050-040,C51018168
LOGO1,FFE_Logo_12x12mm_Silk,1,N/A,
"Q1, Q2, Q3, Q4",C22385350_TOLL-8_L10_4-W9_9-P1_20-LS11_7-BL_2,4,SP010N01BGHTO,C22385350
R1,C2989281_R0805,1,47kΩ ±0.1% 125mW 0805,C2989281
"R10, R11, R16, R17",C2907219_R0805,4,10kΩ ±1% 0805,C2907219
"R12, R13",C865408_R0805,2,330kΩ ±0.1% 125mW 0805,C865408
"R14, R15, R8, R9",C393074_RES-SMD_L6_4-W3_2-1,4,3.3Ω ±5% 1W 2512,C393074
R2,C2989281_R0805,1,12.1kΩ_±0.1%_125mW_0805,C2989281
R3,C309662_R1206,1,1MΩ ±0.1%,C309662
R4,C865332_R0805,1,25.5kΩ ±0.1%,C865332
R5,C710260_RES-SMD_L6_4-W3_2_RLM25,1,0.5mΩ ±1% 3W 2512,C710260
"R6, R7",C7431042_R0805,2,10kΩ ±0.1% 125mW 0805,C7431042
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,21,TestPoint_Probe,
"U1, U5",C141980_SOIC-8_L4_9-W3_9-P1_27-LS6_0-BL-EP,2,UCC27211DDAR,C141980
"U2, U3, U4",C398358_SOT-23-5_L3_0-W1_7-P0_95-LS2_8-BL,3,10 MHz Opamp,C398358
