Designator,Mid X,Mid Y,Rotation,Layer
C1,85.0392,-121.2342,270.0,top
C10,63.246,-133.8834,0.0,top
C11,110.5408,-121.8692,270.0,top
C12,102.2096,-119.8118,270.0,top
C13,103.2822,-107.7556,270.0,top
C2,76.327,-119.3292,270.0,top
C3,53.1876,-146.5834,0.0,top
C4,62.0326,-108.6446,270.0,top
C5,67.0052,-144.2974,90.0,top
C6,74.1934,-112.9284,90.0,top
C7,61.2902,-146.5834,0.0,top
C8,70.137,-138.067,180.0,top
C9,74.422,-146.6088,0.0,top
D1,54.311,-107.6816,270.0,top
J1,105.0544,-153.3398,180.0,top
J2,60.9092,-98.1456,0.0,top
J3,60.96,-120.5484,0.0,top
J4,90.9574,-153.4668,0.0,top
J5,62.7964,-156.4566,0.0,top
J6,120.9802,-153.313,0.0,top
J7,121.9454,-118.8974,0.0,top
J8,96.1136,-119.3292,0.0,top
Q1,92.3424,-106.1542,0.0,top
Q2,92.9266,-134.2232,0.0,top
Q3,118.2204,-106.7232,0.0,top
Q4,118.2204,-134.2232,0.0,top
R1,64.9046,-140.48,90.0,top
R10,90.17,-112.9284,0.0,top
R11,90.7542,-141.2494,0.0,top
R12,70.1116,-135.6032,0.0,top
R13,63.2206,-136.017,180.0,top
R14,110.6424,-113.2332,90.0,top
R15,111.252,-134.4422,270.0,top
R16,116.078,-113.6396,0.0,top
R17,116.3066,-141.4018,0.0,top
R2,64.9046,-144.272,90.0,top
R3,74.0976,-107.2916,270.0,top
R4,76.7842,-112.9284,270.0,top
R5,65.5624,-127.5558,0.0,top
R6,71.0184,-132.5626,270.0,top
R7,60.0456,-132.5626,270.0,top
R8,85.1266,-113.1062,90.0,top
R9,85.6742,-134.493,270.0,top
U1,80.7132,-123.0964,180.0,top
U2,53.1806,-143.5202,90.0,top
U3,61.2933,-143.4719,90.0,top
U4,74.3966,-143.4338,90.0,top
U5,106.0707,-123.6218,180.0,top
