Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C14, C3",0805,4,1uF,C28323
"C10, C116, C117, C5",C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,4,4.7nF,C328768
"C101, C102, C13, C15",0805,4,4.7uF,C1779
"C103, C104, C105, C106, C107, C108, C109, C110, C128, C129, C130, C131, C132, C133, C134, C135, C18, C19, C20, C21, C23, C24, C25, C26, C29, C30, C31, C32, C34, C35, C36, C37, C718",1210,33,4.7uF,C381466
"C11, C54",C_Rect_L9.0mm_W4.0mm_P7.50mm_MKT,2,2.2nF,C5121878
"C111, C112",C_Elec_10x10.2,2,47uF,C3031594
"C113, C122",C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,2,120nF,C46638860
"C114, C115, C16, C17",1210,4,100nF,C22374890
"C118, C119",C_TH_L6.3-W4.4-P10.00-D0.6-S3.8,2,1nF,C2974845
C120,C_Rect_L10.3mm_W4.5mm_P7.50mm_MKS4,1,1nF,C47278939
"C121, C127, C22, C27, C33, C38",C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3,6,1uF,C7529557
"C123, C124",C_Rect_L10.3mm_W4.5mm_P7.50mm_MKS4,2,2.2nF,C5121878
"C125, C126",C_Rect_L10.3mm_W4.5mm_P7.50mm_MKS4,2,1nF,C5121878
"C136, C137",0603,2,1nF,C1588
"C201, C203, C705",0805,3,20pF,C1798
"C202, C28, C39, C405, C44, C505, C702, C703, C707, C719, C804, C807, C808, C809",0805,14,100nF,C49678
"C204, C205, C301, C404",0805,4,470pF,C1743
"C40, C53, C8, C9",0603,4,470nF,C1623
C401,0805,1,100pF,C1790
"C402, C403, C42, C47, C502, C503, C801, C802, C803, C805, C806",1206,11,100nF,C24497
"C406, C407, C701",0805,3,1nF,C46653
"C46, C501",0805,2,10nF,C1710
C6,C_film_capacitors_board,1,120µF,C492412
C7,C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,1,680nF,C489081
C704,1210,1,22uF,C309062
"C706, C709, C710, C711, C712, C715, C716",0805,7,10uF,C440198
C708,1206,1,47uF,C96123
"C713, C714",0603,2,100nF,C14663
C717,0805,1,470nF,C596323
"D1, D2, D3, D4",TO-252-2_Diode,4,D_Schottky,C967703
"D101, D102",D_SOD-123,2,ES1JW,C108815
